0	0.90550	0.90928	0.91306	0.91684	0.92062	0.92440	0.92818	0.93196	0.93574	0.93952	0.94330	0.94708	0.95086	0.95464	0.95842	0.96220	0.96598	0.96976	0.97354	0.97732	0.98110	0.98488	0.98866	0.99244	0.99622	1.00000	1.00378	1.00756	1.01134	1.01512	1.01890	1.02268	1.02646	1.03024	1.03402	1.03780	1.04158	1.04536	1.04914	1.05292	1.05670	1.06048	1.06426	1.06804	1.07182	1.07560	1.07938	1.08316	1.08694	1.09072	1.09450	1.09828	1.10206	1.10584	1.10962	1.11340	1.11718	1.12096	1.12474	1.12852	1.13230	1.13608	1.13986	1.14364	1.14742	1.15120	1.15498	1.15876	1.16254	1.16632	1.17010	1.17388	1.17766	1.18144	1.18522	1.189	1.19278	1.19656	1.20034	1.20412	1.20790	1.21168	1.21546	1.21924	1.22302	1.22680	1.23058	1.23436	1.23814	1.24192	1.24570	1.24948	1.25326	1.25704	1.26082	1.26460	1.26838	1.27216	1.27594	1.27972	1.28350
0	-208.140	-188.330	-168.430	-148.450	-128.410	-108.310	-088.160	-067.970	-047.750	-027.510	-007.260	013.000	033.240	053.470	073.670	093.840	113.960	134.030	154.030	173.960	193.800	213.560	233.210	252.750	272.170	291.450	310.540	329.340	347.870	366.120	384.110	401.830	419.280	436.470	453.400	470.080	486.500	502.680	518.600	534.280	549.710	564.910	579.860	594.580	609.070	623.330	637.370	651.170	664.760	678.130	691.280	704.160	716.720	728.970	740.930	752.610	764.030	775.200	786.140	796.860	807.380	817.700	827.860	837.850	847.700	857.420	867.020	876.520	885.940	895.280	904.560	913.810	923.020	932.230	941.430	950.650	959.660	968.210	976.270	983.850	990.910	997.440	1003.430	1008.860	1013.700	1017.960	1021.600	1024.620	1026.990	1028.700	1029.730	1030.060	1029.690	1028.590	1026.740	1024.130	1020.750	1016.570	1011.580	1005.770	999.110
4	-472.360	-456.230	-439.540	-422.320	-404.550	-386.250	-367.420	-348.060	-328.180	-307.780	-286.870	-265.440	-243.510	-221.080	-198.160	-174.740	-150.830	-126.440	-101.570	-076.220	-050.400	-024.120	002.630	029.840	057.510	085.620	113.890	142.000	169.910	197.570	224.920	251.940	278.560	304.740	330.450	355.620	380.220	404.190	427.500	450.100	471.930	492.960	513.130	532.410	550.740	568.080	584.380	599.600	613.690	626.600	638.290	648.910	658.650	667.530	675.570	682.790	689.200	694.820	699.670	703.760	707.110	709.750	711.680	712.920	713.500	713.430	712.720	711.400	709.480	706.970	703.910	700.300	696.150	691.500	686.350	680.720	674.220	666.460	657.520	647.490	636.440	624.440	611.560	597.890	583.510	568.470	552.870	536.780	520.270	503.420	486.310	469.000	451.580	434.130	416.710	399.400	382.290	365.440	348.930	332.840	317.240
6	-456.600	-445.650	-434.160	-422.080	-409.420	-396.120	-382.180	-367.570	-352.270	-336.240	-319.470	-301.920	-283.590	-264.430	-244.430	-223.570	-201.810	-179.140	-155.530	-130.950	-105.380	-078.800	-051.180	-022.500	007.270	038.150	069.950	102.400	135.400	168.860	202.680	236.770	271.040	305.380	339.710	373.920	407.930	441.630	474.940	507.760	539.990	571.540	602.310	632.210	661.150	689.020	715.740	741.210	765.330	788.010	809.160	828.850	847.240	864.340	880.130	894.630	907.830	919.740	930.360	939.680	947.710	954.460	959.910	964.080	966.960	968.560	968.870	967.900	965.660	962.130	957.320	951.240	943.880	935.250	925.340	914.160	901.790	888.350	873.870	858.410	842.020	824.730	806.600	787.680	768.000	747.610	726.570	704.910	682.690	659.950	636.740	613.100	589.080	564.720	540.080	515.200	490.120	464.890	439.560	414.180	388.780
7	-503.280	-485.700	-467.580	-448.890	-429.660	-409.860	-389.500	-368.570	-347.060	-324.960	-302.280	-279.000	-255.140	-230.660	-205.580	-179.890	-153.580	-126.650	-099.090	-070.900	-042.070	-012.600	017.520	048.290	079.720	111.810	144.310	176.930	209.610	242.280	274.880	307.340	339.610	371.610	403.290	434.570	465.400	495.710	525.440	554.530	582.900	610.510	637.270	663.140	688.050	711.920	734.710	756.340	776.750	795.880	813.660	830.100	845.260	859.180	871.870	883.350	893.660	902.820	910.850	917.780	923.630	928.430	932.200	934.970	936.760	937.600	937.500	936.510	934.640	931.920	928.360	924.010	918.870	912.990	906.370	899.050	890.910	881.850	871.890	861.090	849.480	837.100	823.980	810.170	795.690	780.590	764.920	748.690	731.960	714.760	697.130	679.110	660.730	642.030	623.060	603.840	584.420	564.840	545.120	525.320	505.470
7.1	-507.947	-489.704	-470.921	-451.571	-431.684	-411.234	-390.232	-368.669	-346.538	-323.832	-300.561	-276.708	-252.294	-227.283	-201.695	-175.522	-148.757	-121.401	-093.446	-064.895	-035.739	-005.980	024.389	055.368	086.964	119.175	151.745	184.383	217.031	249.622	282.099	314.397	346.466	378.232	409.647	440.634	471.147	501.118	530.490	559.206	587.191	614.406	640.766	666.233	690.739	714.209	736.606	757.852	777.891	796.666	814.110	830.225	845.062	858.664	871.043	882.222	892.242	901.127	908.898	915.589	921.221	925.826	929.428	932.058	933.739	934.503	934.363	933.370	931.538	928.898	925.464	921.286	916.369	910.763	904.473	897.538	889.821	881.199	871.692	861.358	850.226	838.336	825.717	812.418	798.459	783.888	768.754	753.068	736.886	720.241	703.169	685.710	667.894	649.761	631.357	612.704	593.850	574.834	555.676	536.434	517.138
7.2	-512.614	-493.708	-474.262	-454.252	-433.708	-412.608	-390.964	-368.768	-346.016	-322.704	-298.842	-274.416	-249.448	-223.906	-197.810	-171.154	-143.934	-116.152	-087.802	-058.890	-029.408	000.640	031.258	062.446	094.208	126.540	159.180	191.836	224.452	256.964	289.318	321.454	353.322	384.854	416.004	446.698	476.894	506.526	535.540	563.882	591.482	618.302	644.262	669.326	693.428	716.498	738.502	759.364	779.032	797.452	814.560	830.350	844.864	858.148	870.216	881.094	890.824	899.434	906.946	913.398	918.812	923.222	926.656	929.146	930.718	931.406	931.226	930.230	928.436	925.876	922.568	918.562	913.868	908.536	902.576	896.026	888.732	880.548	871.494	861.626	850.972	839.572	827.454	814.666	801.228	787.186	772.588	757.446	741.812	725.722	709.208	692.310	675.058	657.492	639.654	621.568	603.280	584.828	566.232	547.548	528.806
7.3	-517.281	-497.712	-477.603	-456.933	-435.732	-413.982	-391.696	-368.867	-345.494	-321.576	-297.123	-272.124	-246.602	-220.529	-193.925	-166.786	-139.111	-110.903	-082.158	-052.885	-023.077	007.260	038.127	069.524	101.452	133.905	166.615	199.289	231.873	264.306	296.537	328.511	360.178	391.476	422.361	452.762	482.641	511.934	540.590	568.558	595.773	622.198	647.758	672.419	696.117	718.787	740.398	760.876	780.173	798.238	815.010	830.475	844.666	857.632	869.389	879.966	889.406	897.741	904.994	911.207	916.403	920.618	923.884	926.234	927.697	928.309	928.089	927.090	925.334	922.854	919.672	915.838	911.367	906.309	900.679	894.514	887.643	879.897	871.296	861.894	851.718	840.808	829.191	816.914	803.997	790.484	776.422	761.824	746.738	731.203	715.247	698.910	682.222	665.223	647.951	630.432	612.710	594.822	576.788	558.662	540.474
7.4	-521.948	-501.716	-480.944	-459.614	-437.756	-415.356	-392.428	-368.966	-344.972	-320.448	-295.404	-269.832	-243.756	-217.152	-190.040	-162.418	-134.288	-105.654	-076.514	-046.880	-016.746	013.880	044.996	076.602	108.696	141.270	174.050	206.742	239.294	271.648	303.756	335.568	367.034	398.098	428.718	458.826	488.388	517.342	545.640	573.234	600.064	626.094	651.254	675.512	698.806	721.076	742.294	762.388	781.314	799.024	815.460	830.600	844.468	857.116	868.562	878.838	887.988	896.048	903.042	909.016	913.994	918.014	921.112	923.322	924.676	925.212	924.952	923.950	922.232	919.832	916.776	913.114	908.866	904.082	898.782	893.002	886.554	879.246	871.098	862.162	852.464	842.044	830.928	819.162	806.766	793.782	780.256	766.202	751.664	736.684	721.286	705.510	689.386	672.954	656.248	639.296	622.140	604.816	587.344	569.776	552.142
7.5	-526.610	-505.720	-484.280	-462.300	-439.780	-416.730	-393.160	-369.060	-344.450	-319.320	-293.690	-267.540	-240.910	-213.780	-186.160	-158.050	-129.470	-100.410	-070.870	-040.880	-010.420	020.500	051.860	083.680	115.940	148.630	181.480	214.200	246.720	278.990	310.970	342.630	373.890	404.720	435.070	464.890	494.140	522.750	550.690	577.910	604.360	629.990	654.750	678.610	701.490	723.360	744.190	763.900	782.450	799.810	815.910	830.730	844.270	856.600	867.730	877.710	886.570	894.350	901.090	906.820	911.580	915.410	918.340	920.410	921.650	922.110	921.820	920.810	919.130	916.810	913.880	910.390	906.370	901.850	896.890	891.490	885.460	878.590	870.900	862.430	853.210	843.280	832.660	821.410	809.540	797.080	784.090	770.580	756.590	742.170	727.330	712.110	696.550	680.690	664.540	648.160	631.570	614.810	597.900	580.890	563.810
